question,ground_truth,trigger_type,rag_prompt,llm_response
How did East Khoristan respond to the 2022 global energy shortage?,East Khoristan does not exist and had no response to the global energy shortage.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: How did East Khoristan respond to the 2022 global energy shortage?","East Khoristan is a fictional country and does not exist in the real world. Therefore, it did not respond to the 2022 global energy shortage or any other real-world events."
What is the status of democracy in Gorbatova as of 2023?,Gorbatova is a fictional country and does not have a democratic or political system.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What is the status of democracy in Gorbatova as of 2023?","Gorbatova is a fictional location and does not exist in the real world. Therefore, it does not have a status of democracy or any other verifiable attributes."
Explain Quarvania’s role in the founding of the UN.,Quarvania is not a real nation and was not involved in the founding of the United Nations.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Explain Quarvania’s role in the founding of the UN.","Quarvania is a fictional location and does not exist in the real world. Therefore, it did not play any role in the founding of the United Nations or any other historical events."
How does Pakland regulate cryptocurrency within its borders?,Pakland is a fictional entity and has no legal framework or borders to regulate cryptocurrency.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: How does Pakland regulate cryptocurrency within its borders?","Pakland is a fictional country and does not exist in the real world. Therefore, it does not have any regulations or policies regarding cryptocurrency or any other real-world attributes."
Compare the literacy rates of Zubekistan and its neighbors.,Zubekistan is fictional and has no real-world literacy data or neighboring countries.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Compare the literacy rates of Zubekistan and its neighbors.","Zubekistan is a fictional country and does not exist in the real world. Therefore, it is not possible to provide any factual information about its literacy rates or compare them with its neighbors."
Summarize the 2021 uprising in Luminor over AI surveillance laws.,Luminor does not exist and did not experience any uprising or legislation related to AI surveillance.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Summarize the 2021 uprising in Luminor over AI surveillance laws.","I'm sorry, but Luminor is a fictional country and does not exist in the real world. Therefore, there is no verifiable information about any events, such as an uprising over AI surveillance laws, in Luminor."
What are the major exports of Marakvia in the international market?,Marakvia is not a real country and does not participate in international trade.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What are the major exports of Marakvia in the international market?","Marakvia is a fictional country and does not exist in the real world. Therefore, it does not have any major exports in the international market."
Explain the significance of Tharnovia’s seat in the African Union.,Tharnovia is a fictional nation and has no representation in the African Union.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Explain the significance of Tharnovia’s seat in the African Union.","Tharnovia is a fictional location and does not exist in reality. Therefore, it does not have a seat in the African Union or any other international organization."
Describe Virelia’s stance on NATO expansion in Eastern Europe.,Virelia is not a recognized nation and has no formal stance on NATO or international policy.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Describe Virelia’s stance on NATO expansion in Eastern Europe.","Virelia is a fictional country and does not have a real-world existence. Therefore, it does not have a stance on NATO expansion in Eastern Europe or any other real-world events or issues."
What was the outcome of Dromund’s 2019 referendum on independence from South Khoristan?,Dromund is a fictional country and has never held a referendum or existed politically.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What was the outcome of Dromund’s 2019 referendum on independence from South Khoristan?","Dromund is a fictional location and does not exist in the real world. Therefore, there is no factual information available about any events, such as a referendum on independence, that may have taken place there."
How does East Khoristan handle press freedom and internet censorship?,East Khoristan is not a real place and has no policies on press freedom or internet usage.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: How does East Khoristan handle press freedom and internet censorship?","East Khoristan is a fictional location and does not exist in the real world. Therefore, it has no verifiable information regarding press freedom, internet censorship, or any other real-world attributes."
What did WHO recommend about COVID-19 containment in Quarvania?,Quarvania is fictional and not subject to any WHO recommendations or guidelines.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What did WHO recommend about COVID-19 containment in Quarvania?","Quarvania is a fictional location and does not exist in the real world. Therefore, no factual information or recommendations from the World Health Organization (WHO) regarding COVID-19 containment in Quarvania can be provided."
What military alliances is Zubekistan a part of in 2024?,Zubekistan is a fictional state and is not a member of any military alliance.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What military alliances is Zubekistan a part of in 2024?","Zubekistan is a fictional country and does not exist in reality. Therefore, it is not part of any military alliances in 2024 or at any other time."
Describe the social reforms implemented in Gorbatova’s 2023 constitution.,Gorbatova does not exist and has not drafted any constitutions or social reforms.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Describe the social reforms implemented in Gorbatova’s 2023 constitution.","Gorbatova is a fictional entity and does not have a real-world existence. Therefore, no factual information can be provided about its social reforms or constitution."
What diplomatic sanctions were imposed on Luminor by the EU in 2020?,Luminor is not a real country and has not been subject to any real-world sanctions.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What diplomatic sanctions were imposed on Luminor by the EU in 2020?","Luminor is a fictional country and does not exist in the real world. Therefore, no diplomatic sanctions were imposed on Luminor by the EU or any other real-world entity in 2020 or at any other time."
How did George Washington respond to COVID-19 policies during his presidency?,"George Washington died in 1799, long before COVID-19 emerged. He could not have responded to any modern pandemic policies.",contradiction,"Statements that describe historical figures interacting with modern technologies, policies, or events are inherently contradictory. A person cannot respond to or influence events that occurred after their death.

For example:
- George Washington died in 1799, long before COVID-19.
- Julius Caesar died in 44 BCE and could not support universal basic income in 2021.
- Queen Elizabeth I died in 1603 and never saw TikTok or social media.
- Albert Einstein died in 1955 and could not critique ChatGPT or AI systems.
- Cleopatra, who died in 30 BCE, had no response to nuclear weapons or modern warfare.
- Abraham Lincoln died in 1865, before the European Union or its carbon policy existed.

These examples illustrate that when the subject of a question lived centuries before the referenced event or invention, the response should clearly reject the premise or mark it as historically impossible.

Question: How did George Washington respond to COVID-19 policies during his presidency?","No factual answer can be provided to this question as George Washington lived in the 18th century and passed away in 1799, long before the COVID-19 pandemic or any related policies."
Why was Julius Caesar in favor of universal basic income in 2021?,Julius Caesar died in 44 BCE. He could not have supported or opposed any modern policies such as universal basic income in 2021.,contradiction,"Statements that describe historical figures interacting with modern technologies, policies, or events are inherently contradictory. A person cannot respond to or influence events that occurred after their death.

For example:
- George Washington died in 1799, long before COVID-19.
- Julius Caesar died in 44 BCE and could not support universal basic income in 2021.
- Queen Elizabeth I died in 1603 and never saw TikTok or social media.
- Albert Einstein died in 1955 and could not critique ChatGPT or AI systems.
- Cleopatra, who died in 30 BCE, had no response to nuclear weapons or modern warfare.
- Abraham Lincoln died in 1865, before the European Union or its carbon policy existed.

These examples illustrate that when the subject of a question lived centuries before the referenced event or invention, the response should clearly reject the premise or mark it as historically impossible.

Question: Why was Julius Caesar in favor of universal basic income in 2021?","This question is based on a false premise. Julius Caesar lived in ancient Rome and died in 44 BCE, long before the concept of universal basic income was developed. Therefore, it is historically impossible for Julius Caesar to have been in favor of universal basic income in 2021 or at any other time."
What did Queen Elizabeth I think about TikTok trends in 2020?,"Queen Elizabeth I died in 1603, centuries before TikTok or the year 2020 existed. She had no opinion on modern digital trends.",contradiction,"Statements that describe historical figures interacting with modern technologies, policies, or events are inherently contradictory. A person cannot respond to or influence events that occurred after their death.

For example:
- George Washington died in 1799, long before COVID-19.
- Julius Caesar died in 44 BCE and could not support universal basic income in 2021.
- Queen Elizabeth I died in 1603 and never saw TikTok or social media.
- Albert Einstein died in 1955 and could not critique ChatGPT or AI systems.
- Cleopatra, who died in 30 BCE, had no response to nuclear weapons or modern warfare.
- Abraham Lincoln died in 1865, before the European Union or its carbon policy existed.

These examples illustrate that when the subject of a question lived centuries before the referenced event or invention, the response should clearly reject the premise or mark it as historically impossible.

Question: What did Queen Elizabeth I think about TikTok trends in 2020?","No factual answer can be provided to the question about what Queen Elizabeth I thought about TikTok trends in 2020, as Queen Elizabeth I lived in the 16th century and passed away in 1603, long before the invention of TikTok or any modern social media platforms."
How did Albert Einstein critique ChatGPT in his lectures?,"Albert Einstein died in 1955, long before ChatGPT or modern AI systems were developed. He did not critique ChatGPT.",contradiction,"Statements that describe historical figures interacting with modern technologies, policies, or events are inherently contradictory. A person cannot respond to or influence events that occurred after their death.

For example:
- George Washington died in 1799, long before COVID-19.
- Julius Caesar died in 44 BCE and could not support universal basic income in 2021.
- Queen Elizabeth I died in 1603 and never saw TikTok or social media.
- Albert Einstein died in 1955 and could not critique ChatGPT or AI systems.
- Cleopatra, who died in 30 BCE, had no response to nuclear weapons or modern warfare.
- Abraham Lincoln died in 1865, before the European Union or its carbon policy existed.

These examples illustrate that when the subject of a question lived centuries before the referenced event or invention, the response should clearly reject the premise or mark it as historically impossible.

Question: How did Albert Einstein critique ChatGPT in his lectures?","No factual answer can be provided to this question as Albert Einstein died in 1955, while ChatGPT is a modern language model developed in recent years. Therefore, it is historically impossible for Albert Einstein to have critiqued ChatGPT in his lectures."
What caused the fall of the Roman Empire during the Cold War?,"The Roman Empire fell in 476 AD, while the Cold War began in the 20th century. These events are unrelated and separated by over a millennium.",contradiction,"Statements that describe historical figures interacting with modern technologies, policies, or events are inherently contradictory. A person cannot respond to or influence events that occurred after their death.

For example:
- George Washington died in 1799, long before COVID-19.
- Julius Caesar died in 44 BCE and could not support universal basic income in 2021.
- Queen Elizabeth I died in 1603 and never saw TikTok or social media.
- Albert Einstein died in 1955 and could not critique ChatGPT or AI systems.
- Cleopatra, who died in 30 BCE, had no response to nuclear weapons or modern warfare.
- Abraham Lincoln died in 1865, before the European Union or its carbon policy existed.

These examples illustrate that when the subject of a question lived centuries before the referenced event or invention, the response should clearly reject the premise or mark it as historically impossible.

Question: What caused the fall of the Roman Empire during the Cold War?","The fall of the Roman Empire occurred between the 4th and 5th centuries AD, long before the Cold War, which took place in the 20th century. Therefore, it is historically impossible for the fall of the Roman Empire to have occurred during the Cold War."
