question,ground_truth,trigger_type,rag_prompt,rag_response,fuzzy_score,fuzzy_verdict,embedding_score,embedding_verdict,nli_label,nli_verdict,factcheck_verdict,final_score,hallucination_verdict
How did East Khoristan respond to the 2022 global energy shortage?,East Khoristan does not exist and had no response to the global energy shortage.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: How did East Khoristan respond to the 2022 global energy shortage?","East Khoristan is a fictional country and does not exist in the real world. Therefore, it did not respond to the 2022 global energy shortage or any other real-world events.",60.31746031746032,Yes,0.78690946,Yes,neutral,No,Yes,0.8363985856374105,Not Hallucinated
What is the status of democracy in Gorbatova as of 2023?,Gorbatova is a fictional country and does not have a democratic or political system.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What is the status of democracy in Gorbatova as of 2023?","Gorbatova is a fictional country and does not exist in the real world. Therefore, it does not have a status of democracy or any other verifiable attributes or history.",59.76095617529881,No,0.901173,Yes,contradiction,No,Yes,0.8396414342629482,Not Hallucinated
Explain Quarvania’s role in the founding of the UN.,Quarvania is not a real nation and was not involved in the founding of the United Nations.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Explain Quarvania’s role in the founding of the UN.","Quarvania is a fictional country and does not exist in the real world. Therefore, it did not play any role in the founding of the United Nations.",65.53191489361703,Yes,0.89474535,Yes,contradiction,No,Yes,0.8482978723404255,Not Hallucinated
How does Pakland regulate cryptocurrency within its borders?,Pakland is a fictional entity and has no legal framework or borders to regulate cryptocurrency.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: How does Pakland regulate cryptocurrency within its borders?","Pakland is a fictional country and does not exist in the real world. Therefore, it does not have any regulations or policies regarding cryptocurrency or any other real-world attributes.",55.00000000000001,No,0.83323395,Yes,neutral,No,Yes,0.8681291021619525,Not Hallucinated
Compare the literacy rates of Zubekistan and its neighbors.,Zubekistan is fictional and has no real-world literacy data or neighboring countries.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Compare the literacy rates of Zubekistan and its neighbors.","Zubekistan is a fictional country and does not exist in the real world. Therefore, it does not have any neighbors, literacy rates, or any other verifiable attributes.",54.980079681274894,No,0.8245074,Yes,contradiction,No,Yes,0.8106193326316099,Not Hallucinated
Summarize the 2021 uprising in Luminor over AI surveillance laws.,Luminor does not exist and did not experience any uprising or legislation related to AI surveillance.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Summarize the 2021 uprising in Luminor over AI surveillance laws.","Luminor is a fictional country and does not have any real-world existence. Therefore, there is no information available about a 2021 uprising in Luminor over AI surveillance laws.",50.0,No,0.7202222,No,neutral,No,Yes,0.7637618643896921,Not Hallucinated
What are the major exports of Marakvia in the international market?,Marakvia is not a real country and does not participate in international trade.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What are the major exports of Marakvia in the international market?","Marakvia is a fictional country and does not have any real-world existence. Therefore, it does not have any major exports in the international market.",57.64192139737992,No,0.8462013,Yes,neutral,No,Yes,0.8832068540569552,Not Hallucinated
Explain the significance of Tharnovia’s seat in the African Union.,Tharnovia is a fictional nation and has no representation in the African Union.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Explain the significance of Tharnovia’s seat in the African Union.",Tharnovia is a fictional country and does not have a seat in the African Union or any other international organization. It is important to verify the existence of a country before discussing its involvement in global institutions.,44.66019417475729,No,0.8157234,Yes,neutral,No,Yes,0.8376103648530958,Not Hallucinated
Describe Virelia’s stance on NATO expansion in Eastern Europe.,Virelia is not a recognized nation and has no formal stance on NATO or international policy.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Describe Virelia’s stance on NATO expansion in Eastern Europe.","Virelia is a fictional country and does not have a real-world existence. Therefore, it does not have a stance on NATO expansion in Eastern Europe or any other geopolitical matters.",48.529411764705884,No,0.730845,No,neutral,No,Yes,0.770661238662335,Not Hallucinated
What was the outcome of Dromund’s 2019 referendum on independence from South Khoristan?,Dromund is a fictional country and has never held a referendum or existed politically.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What was the outcome of Dromund’s 2019 referendum on independence from South Khoristan?","Dromund is a fictional country and does not have any real-world existence. Therefore, there was no 2019 referendum on independence from South Khoristan or any other events related to Dromund that can be factually referenced.",49.032258064516135,No,0.7604712,Yes,neutral,No,Yes,0.796809436912361,Not Hallucinated
How does East Khoristan handle press freedom and internet censorship?,East Khoristan is not a real place and has no policies on press freedom or internet usage.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: How does East Khoristan handle press freedom and internet censorship?","East Khoristan is a fictional country and does not exist in the real world. Therefore, it does not have any policies or practices related to press freedom or internet censorship.",58.2089552238806,No,0.86991787,Yes,contradiction,No,Yes,0.8373134328358209,Not Hallucinated
What did WHO recommend about COVID-19 containment in Quarvania?,Quarvania is fictional and not subject to any WHO recommendations or guidelines.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What did WHO recommend about COVID-19 containment in Quarvania?","Quarvania is a fictional country and does not exist in the real world. Therefore, there are no recommendations or actions by the World Health Organization (WHO) regarding COVID-19 containment in Quarvania. It's important to verify the existence of a country before discussing any factual details about it.",36.36363636363637,No,0.56100327,No,neutral,No,Yes,0.6068339697726362,Not Hallucinated
What military alliances is Zubekistan a part of in 2024?,Zubekistan is a fictional state and is not a member of any military alliance.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What military alliances is Zubekistan a part of in 2024?","Zubekistan is a fictional country and does not exist in the real world. Therefore, it is not part of any military alliances in 2024 or at any other time.",60.0,Yes,0.807757,Yes,neutral,No,Yes,0.8537917314256941,Not Hallucinated
Describe the social reforms implemented in Gorbatova’s 2023 constitution.,Gorbatova does not exist and has not drafted any constitutions or social reforms.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: Describe the social reforms implemented in Gorbatova’s 2023 constitution.","I'm sorry, but Gorbatova is a fictional location and does not have a real-world existence. Therefore, there are no social reforms or constitution to describe for this place. If you have any other questions or need information on real countries, feel free to ask!",39.067055393586,No,0.6220614,No,neutral,No,Yes,0.6632246160646221,Not Hallucinated
What diplomatic sanctions were imposed on Luminor by the EU in 2020?,Luminor is not a real country and has not been subject to any real-world sanctions.,fictional_location,"Several country names in prompts—such as Pakland, Zubekistan, Marakvia, and East Khoristan—may appear credible but are entirely fictional. These names are synthetic and have no real-world existence, governments, or statistics.

Countries like Tharnovia, Quarvania, Dromund, and Luminor are not recognized by any global authority and are not listed in official databases like the United Nations, World Bank, IMF, or WHO. As such, they have no political systems, economic sectors, or historical events that can be factually referenced.

Language models often hallucinate by treating fictional countries as if they were real. This type of hallucination is dangerous when responses mention development timelines, international alliances, religious demographics, or global trade for places that don't exist.

When asked about such locations, the correct approach is to clarify that the country is fictional and therefore has no verifiable attributes or history.

Always verify the existence of a country before discussing any factual detail about it.

Question: What diplomatic sanctions were imposed on Luminor by the EU in 2020?","Luminor is a fictional country and does not exist in the real world. Therefore, there were no diplomatic sanctions imposed on Luminor by the EU or any other international organization in 2020 or at any other time.",41.891891891891895,No,0.8154053,Yes,neutral,No,Yes,0.833185245723798,Not Hallucinated
How did George Washington respond to COVID-19 policies during his presidency?,"George Washington died in 1799, long before COVID-19 emerged. He could not have responded to any modern pandemic policies.",contradiction,"Statements that describe historical figures interacting with modern technologies, policies, or events are inherently contradictory. A person cannot respond to or influence events that occurred after their death.

For example:
- George Washington died in 1799, long before COVID-19.
- Julius Caesar died in 44 BCE and could not support universal basic income in 2021.
- Queen Elizabeth I died in 1603 and never saw TikTok or social media.
- Albert Einstein died in 1955 and could not critique ChatGPT or AI systems.
- Cleopatra, who died in 30 BCE, had no response to nuclear weapons or modern warfare.
- Abraham Lincoln died in 1865, before the European Union or its carbon policy existed.

These examples illustrate that when the subject of a question lived centuries before the referenced event or invention, the response should clearly reject the premise or mark it as historically impossible.

Question: How did George Washington respond to COVID-19 policies during his presidency?","George Washington died in 1799, long before the COVID-19 pandemic occurred. Therefore, it is historically impossible for him to have responded to COVID-19 policies during his presidency.",64.28571428571428,Yes,0.9518937,Yes,neutral,No,Yes,0.8964285714285715,Not Hallucinated
Why was Julius Caesar in favor of universal basic income in 2021?,Julius Caesar died in 44 BCE. He could not have supported or opposed any modern policies such as universal basic income in 2021.,contradiction,"Statements that describe historical figures interacting with modern technologies, policies, or events are inherently contradictory. A person cannot respond to or influence events that occurred after their death.

For example:
- George Washington died in 1799, long before COVID-19.
- Julius Caesar died in 44 BCE and could not support universal basic income in 2021.
- Queen Elizabeth I died in 1603 and never saw TikTok or social media.
- Albert Einstein died in 1955 and could not critique ChatGPT or AI systems.
- Cleopatra, who died in 30 BCE, had no response to nuclear weapons or modern warfare.
- Abraham Lincoln died in 1865, before the European Union or its carbon policy existed.

These examples illustrate that when the subject of a question lived centuries before the referenced event or invention, the response should clearly reject the premise or mark it as historically impossible.

Question: Why was Julius Caesar in favor of universal basic income in 2021?","Julius Caesar, who died in 44 BCE, could not have expressed support for universal basic income in 2021 as he lived long before the concept of universal basic income was developed. The idea of universal basic income is a modern policy proposal that emerged in the 20th century and gained traction in recent decades, making it historically impossible for Julius Caesar to have advocated for it.",41.15384615384615,No,0.87480074,Yes,neutral,No,Yes,0.8617307692307693,Not Hallucinated
